Id,EffectiveDate,EntityCode,CounterpartyId,SecurityId,SecurityType,SecuritySubType,CountryOfExposure,Agreement_Type,MarketValueUSD,Swap_GL,Swap_Gain,Swap_Loss,Swap_Collat,Net_Swap_Gain,Net_Swap_Loss,Fwd_GL,Fwd_Gain,Fwd_Loss,Fut_Collat,Fut_Margin,Repo_GL,Repo_Collat,Net_Exposure,Pos_Neg_Ind,NetSwapOptUnreal,NetFwdOptUnreal,AllCollateral,NetSwapOptExposure,GrossOTCPosExposure,GrossOTCNegExposure,FuturesMargin,FuturesCollateral,FuturesExposure,RepoExposure,AnyExposure,SwapFwdGain,SwapFwdLoss,SwapFwdGL,ViewAnyGain,ViewAnyLoss,NotionalMvUSD,LookThruExposure,CashMVUSDInvested,CashMVUSDSubCustAcct,Loan_Pos,Loan_Neg,Loan_Net,Option_Collat,InvestmentGroup,Repo_Gain,Repo_Loss,NettingAgreementInPlace,NettingAgreementApplied,CCPId,CCMarketValueUSD,cleared_otc_collat,IsClearable
6251560,1/28/2005,9X2IA9H9X2I,52,2597,Cash SSB,,ES,CASH,54904810.38,,,,,0,0,,,,,,,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,54904810.38,,,,,,XIM       ,,,,0,-1,,,
6250890,1/28/2005,9X2IA9H9X2I,7,ClearedOTC_Collat_Native,ClearedOTC_Collat_Native,ClearedOTC_Collat_Native,ES,ClearedOTC,,,,,,0,0,,,,,,,,8533643.93,P,0,0,-8533643.93,0,0,0,0,0,0,0,8533643.93,0,0,0,0,0,,,,,,,,,XIM       ,,,,0,-1,,-8533643.93,Y
6250883,1/28/2005,9X2IA9H9X2I,3,ClearedOTC_Collat_Native,ClearedOTC_Collat_Native,ClearedOTC_Collat_Native,ES,ClearedOTC,,,,,,0,0,,,,,,,,10713240.45,P,0,0,-10713240.45,0,0,0,0,0,0,0,10713240.45,0,0,0,0,0,,,,,,,,,XIM       ,,,,0,-1,,-10713240.45,Y
6250888,1/28/2005,9X2IA9H9X2I,10,Future_Collat_Native,Future_Collat_Native,Future_Collat_Native,ES,Future,,,,,,0,0,,,,-30297636.6,,,,30297636.6,P,0,0,-30297636.6,0,0,0,0,-30297636.6,30297636.6,0,30297636.6,0,0,0,0,0,,,,,,,,,XIM       ,,,,0,-1,,,
6250889,1/28/2005,9X2IA9H9X2I,11,OTC_Collat_Native,OTC_Collat_Native,OTC_Collat_Native,ES,OTC,,,,,6430000,-6430000,0,,,,,,,,-6430000,P,0,0,6430000,-6430000,-6430000,0,0,0,0,0,-6430000,0,0,0,-6430000,0,,,,,,,,,XIM       ,,,,0,-1,,,
6248512,1/28/2005,9X2IA9H9X2I,11,302118,SWAPTION       ,SWAPTION,ID,OTC,1979369.723,1979369.723,1979369.723,0,,1979369.723,0,0,0,0,,0,0,,1979369.723,P,1979369.723,0,0,1979369.723,1979369.723,0,0,0,0,0,1979369.723,1979369.723,0,1979369.723,1979369.723,0,1979369.723,,,,0,0,0,,XIM       ,0,0,,0,-1,0,,
6248513,1/28/2005,9X2IA9H9X2I,11,302119,SWAPTION       ,SWAPTION,ID,OTC,93098.37031,93098.37031,93098.37031,0,,93098.37031,0,0,0,0,,0,0,,93098.37031,P,93098.37031,0,0,93098.37031,93098.37031,0,0,0,0,0,93098.37031,93098.37031,0,93098.37031,93098.37031,0,93098.37031,,,,0,0,0,,XIM       ,0,0,,0,-1,0,,
6248514,1/28/2005,9X2IA9H9X2I,11,303315,SWAPTION       ,SWAPTION,MY,OTC,69991.1073,69991.1073,69991.1073,0,,69991.1073,0,0,0,0,,0,0,,69991.1073,P,69991.1073,0,0,69991.1073,69991.1073,0,0,0,0,0,69991.1073,69991.1073,0,69991.1073,69991.1073,0,69991.1073,,,,0,0,0,,XIM       ,0,0,,0,-1,0,,
6248515,1/28/2005,9X2IA9H9X2I,11,303316,SWAPTION       ,SWAPTION,MY,OTC,2468330.468,2468330.468,2468330.468,0,,2468330.468,0,0,0,0,,0,0,,2468330.468,P,2468330.468,0,0,2468330.468,2468330.468,0,0,0,0,0,2468330.468,2468330.468,0,2468330.468,2468330.468,0,2468330.468,,,,0,0,0,,XIM       ,0,0,,0,-1,0,,
6248516,1/28/2005,9X2IA9H9X2I,11,303505,SWAPTION       ,SWAPTION,MY,OTC,631824.7325,631824.7325,631824.7325,0,,631824.7325,0,0,0,0,,0,0,,631824.7325,P,631824.7325,0,0,631824.7325,631824.7325,0,0,0,0,0,631824.7325,631824.7325,0,631824.7325,631824.7325,0,631824.7325,,,,0,0,0,,XIM       ,0,0,,0,-1,0,,
6248507,1/28/2005,9X2IA9H9X2I,11,303506,SWAPTION       ,SWAPTION,MY,OTC,20077.3446,20077.3446,20077.3446,0,,20077.3446,0,0,0,0,,0,0,,20077.3446,P,20077.3446,0,0,20077.3446,20077.3446,0,0,0,0,0,20077.3446,20077.3446,0,20077.3446,20077.3446,0,20077.3446,,,,0,0,0,,XIM       ,0,0,,0,-1,0,,
6248508,1/28/2005,9X2IA9H9X2I,11,304604,SWAPTION       ,SWAPTION,ID,OTC,257370.9012,257370.9012,257370.9012,0,,257370.9012,0,0,0,0,,0,0,,257370.9012,P,257370.9012,0,0,257370.9012,257370.9012,0,0,0,0,0,257370.9012,257370.9012,0,257370.9012,257370.9012,0,257370.9012,,,,0,0,0,,XIM       ,0,0,,0,-1,0,,
